DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;STIMBERECHTIGTE;EINGELEGTE_STIMMZETTEL;LEERE_STIMMEN;UNGUELTIGE_STIMMZETTEL;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG;JA_STIMMEN_PROZENT
17.06.2012;Änderung des Bundesgesetzes über die Krankversicherung (KVG) (Managed Care);4;Fakultatives Referendum;161789;51341;806;724;49811;17008;32803;31.7;34.1
17.06.2012;"Volksinitiative ""Eigene vier Wände dank Bausparen""";1;Volksinitiative;161789;51183;743;713;49727;14330;35397;31.6;28.8
17.06.2012;"Volksinitiative ""Für die Stärkung der Volksrechte in der Aussenpolitik (Staatsverträge vors Volk!)""";1;Volksinitiative;161789;51037;648;718;49671;14218;35453;31.5;28.6
23.09.2012;"Bundesbeschluss über die Jugendmusikförderung (Gegenentwurf zur Volksinitiative ""jugend + musik"")";3;Obligatorisches Referendum;162546;85833;1581;1403;82849;57111;25738;52.8;68.9
23.09.2012;"Volksinitiative ""Schutz vor Passivrauchen""";1;Volksinitiative;162546;87754;658;1431;85665;28243;57422;54;33
23.09.2012;"Volksinitiative ""Sicheres Wohnen im Alter""";1;Volksinitiative;162546;86517;1743;1423;83351;44722;38629;53.2;53.7
25.11.2012;Änderung des Tierseuchengesetzes;4;Fakultatives Referendum;162777;35306;710;430;34166;20483;13683;21.7;60
03.03.2013;Änderung des Bundesgesetzes über die Raumplanung (Raumplanungsgesetz, RPG);4;Fakultatives Referendum;163158;70260;943;981;68336;46858;21478;43.1;68.6
03.03.2013;Bundesbeschluss über die Familienpolitik;3;Obligatorisches Referendum;163158;70391;973;984;68434;28511;39923;43.1;41.7
03.03.2013;"Volksinitiative ""Gegen die Abzockerei""";1;Volksinitiative;163158;70483;780;994;68709;48469;20240;43.2;70.5
06.09.2013;Änderung des Asylgesetzes (AsylG) (Dringliche Änderung des Asylgesetzes);4;Fakultatives Referendum;163607;55799;646;796;54357;45806;8551;34.1;84.3
06.09.2013;"Volksinitiative ""Volkswahl des Bundesrates""";1;Volksinitiative;163607;55383;253;795;54335;14118;40217;33.9;26
22.09.2013;Änderung des Bundesgesetzes über die Arbeit, Industrie, Gewerbe und Handel (Arbeitsgesetz, ArG);4;Fakultatives Referendum;164146;75003;921;1059;73023;37801;35222;45.7;51.8
22.09.2013;Bundesgesetz über die Bekämpfung übertragbarer Krankheiten des Menschen (Epidemiegesetz, EpG);4;Fakultatives Referendum;164146;74744;1224;1055;72465;36417;36048;45.5;50.3
22.09.2013;"Volksinitiative ""Ja zur Aufhebung der Wehrpflicht""";1;Volksinitiative;164146;75250;372;1083;73795;14224;59571;45.8;19.3
24.11.2013;Änderung des Bundesgesetzes über die Abgabe für die Benützung von Nationalstrassen (Nationalstrassengesetz, NSAG);4;Fakultatives Referendum;164554;83843;642;1308;81893;31334;50559;51;38.3
24.11.2013;"Volksinitiative ""1:12 - für gerechte Löhne""";1;Volksinitiative;164554;83640;705;1322;81613;25044;56569;50.8;30.7
24.11.2013;"Volksinitiative ""Familieninitiative: Steuerabzüge auch für Eltern, die ihre Kinder selber betreuen""";1;Volksinitiative;164554;83576;879;1323;81374;39344;42030;50.8;48.3
09.02.2014;"Bundesbeschluss über die Finanzierung und den Ausbau der Eisenbahninfrastruktur (direkter Gegenentwurf zur Volksinitiative ""Für den öffentlichen Verkehr"")";3;Obligatorisches Referendum;164958;87869;1218;1432;85219;46188;39031;53.3;54.2
09.02.2014;"Volksinitiative ""Abtreibungsfinanzierung ist Privatsache - Entlastung der Krankenversicherung durch Streichung der Kosten des Schwangerschaftsabbruchs aus der obligatorischen Grundversicherung""";1;Volksinitiative;164958;87322;1023;1448;84851;34745;50106;52.9;40.9
09.02.2014;"Volksinitiative ""Gegen Masseneinwanderung""";1;Volksinitiative;164958;88563;766;1459;86338;49920;36418;53.7;57.8
18.05.2014;"Bundesbeschluss über die medizinische Grundversorgung (direkter Gegenentwurf zur Volksinitiative ""Ja zur Hausarztmedizin"")";3;Obligatorisches Referendum;165327;88933;2351;1494;85088;72112;12976;53.8;84.7
18.05.2014;Bundesgesetz über den Fonds zur Beschaffung des Kampfflugzeugs Gripen (Gripen-Fonds-Gesetz);4;Fakultatives Referendum;165327;89824;1067;1504;87253;48470;38783;54.3;55.6
18.05.2014;"Volkinitiative ""Pädophile sollen nicht mehr mit Kindern arbeiten dürfen""";1;Volksinitiative;165327;89594;1544;1519;86531;54154;32377;54.2;62.6
18.05.2014;"Volksinitiative ""Für den Schutz fairer Löhne (Mindestlohn-Initiative)""";1;Volksinitiative;165327;89880;619;1503;87758;15591;72167;54.4;17.8
28.09.2014;"Volksinitiative ""Für eine öffentliche Krankenkasse""";1;Volksinitiative;165766;69472;328;1066;68078;18046;50032;41.9;26.5
28.09.2014;"Volksinitiative ""Schluss mit der Mehrwertsteuer-Diskriminierung des Gastgewerbes!""";1;Volksinitiative;165766;69146;860;1073;67213;18336;48877;41.7;27.3
30.11.2014;"Volksinitiative ""Rettet unser Schweizer Gold (Gold-Initiative)""";1;Volksinitiative;165943;77498;1124;1116;75258;20499;54759;46.7;27.2
30.11.2014;"Volksinitiative ""Schluss mit Steuerprivilegien für Millionäre (Abschaffung der Pauschalbesteuerung)""";1;Volksinitiative;165943;77854;647;1128;76079;33672;42407;46.9;44.3
30.11.2014;"Volksinitiative ""Stopp der Überbevölkerung - zur Sicherung der natürlichen Lebensgrundlage""";1;Volksinitiative;165943;77860;559;1128;76173;23516;52657;46.9;30.9
08.03.2015;"Volksinitiative ""Energie- statt Mehrwertsteuer""";1;Volksinitiative;166524;73347;627;1094;71626;5631;65995;44;7.9
08.03.2015;"Volksinitiative ""Familie stärken! Steuerfreie Kinder- und Ausbildungszulagen""";1;Volksinitiative;166524;73256;591;1085;71580;16242;55338;44;22.7
14.06.2015;Änderung des Bundesgesetzes über Radio und Fernsehen (RTVG);4;Fakultatives Referendum;167060;67884;784;1009;66091;30049;36042;40.6;45.5
14.06.2015;Bundesbeschluss über die Änderung der Verfassungsbestimmung zur Fortpflanzungsmedizin und Gentechnologie im Humanbereich;3;Obligatorisches Referendum;167060;67987;1161;992;65834;33154;32680;40.7;50.4
14.06.2015;"Volksinitiative ""Millionen-Erbschaften besteuern für unsere AHV (Erbschaftssteuerreform)""";1;Volksinitiative;167060;68120;470;984;66666;18014;48652;40.8;27
14.06.2015;"Volksinitiative ""Stipendieninitiative""";1;Volksinitiative;167060;67816;1341;1009;65466;13785;51681;40.6;21.1
28.02.2016;Änderung des Bundesgesetzes über den Strassentransitverkehr im Alpengebiet (STVG) (Sanierung Gotthard-Strassentunnel);4;Fakultatives Referendum;168507;100793;1065;1552;98176;55968;42208;59.8;57
28.02.2016;"Volksinitiative ""Für Ehe und Familie - gegen die Heiratsstrafe""";1;Volksinitiative;168507;99782;1370;1565;96847;52263;44584;59.2;54
28.02.2016;"Volksinitiative ""Keine Spekulation mit Nahrungsmitteln!""";1;Volksinitiative;168507;99867;2438;1561;95868;36548;59320;59.3;38.1
28.02.2016;"Volksinitiative ""Zur Durchsetzung der Ausschaffung krimineller Ausländer (Durchsetzungsinitiative)""";1;Volksinitiative;168507;101738;692;1559;99487;46909;52578;60.4;47.2
05.06.2016;Änderung des Asylgesetzes (AsylG);4;Fakultatives Referendum;168872;72493;1212;967;70314;43828;26486;42.9;62.3
05.06.2016;Änderung des Bundesgesetzes über die medizinisch unterstützte Fortpflanzung (Fortpflanzungsmedizingesetz, FMedG);4;Fakultatives Referendum;168872;72477;1720;977;69780;37170;32610;42.9;53.3
05.06.2016;"Volksinitiative ""Für ein bedingungsloses Grundeinkommen""";1;Volksinitiative;168872;72921;352;966;71603;13716;57887;43.2;19.2
05.06.2016;"Volksinitiative ""Für eine faire Verkehrsfinanzierung""";1;Volksinitiative;168872;72465;1008;958;70499;23248;47251;42.9;33
05.06.2016;"Volksinitiative ""Pro Service public""";1;Volksinitiative;168872;72543;1120;963;70460;25295;45165;43;35.9
25.09.2016;Bundesgesetz über den Nachrichtendienst (Nachrichtendienstgesetz, NDG);4;Fakultatives Referendum;169494;64590;1276;734;62580;40296;22284;38.1;64.4
25.09.2016;"Volksinitiative ""AHVplus: für eine starke AHV""";1;Volksinitiative;169494;64846;406;739;63701;21412;42289;38.3;33.6
25.09.2016;"Volksinitiative ""für eine nachhaltige und ressourceneffiziente Wirtschaft (Grüne Wirtschaft)""";1;Volksinitiative;169494;64647;657;724;63266;19146;44120;38.1;30.3
27.11.2016;"Volksinitiative ""für den geordneten Ausstieg aus der Atomenergie (Atomausstiegsinitiative)""";1;Volksinitiative;169740;74346;390;934;73022;29364;43658;43.8;40.2
12.02.2017;Bundesbeschluss über die erleichterte Einbürgerung von Personen der dritten Ausländergeneration;3;Obligatorisches Referendum;170076;74292;372;924;72996;36486;36510;43.7;50
12.02.2017;Bundesbeschluss über die Schaffung eines Fonds für die Nationalstrassen und den Agglomerationsverkehr;3;Obligatorisches Referendum;170076;73867;1158;930;71779;42469;29310;43.4;59.2
12.02.2017;Bundesgesetz über steuerliche Massnahmen zur Stärkung der Wettbewerbsfähigkeit des Unternehmensstandorts Schweiz (Unternehmenssteuerreformgesetz III);4;Fakultatives Referendum;170076;73826;1554;929;71343;28919;42424;43.4;40.5
21.05.2017;Energiegesetz (EnG);4;Fakultatives Referendum;170472;67373;379;923;66071;33955;32116;39.5;51.4
24.09.2017;"Bundesbeschluss über die Ernährungssicherheit (direkter Gegenentwurf zur zurückgezogenen Volksinitiative ""Für Ernährungssicherheit"")";3;Obligatorisches Referendum;170991;78013;1478;1061;75474;53905;21569;45.6;71.4
24.09.2017;Bundesbeschluss über die Zusatzfinanzierung der AHV durch eine Erhöhung der Mehrwertsteuer;3;Obligatorisches Referendum;170991;78513;516;1081;76916;32910;44006;45.9;42.8
24.09.2017;Bundesgesetz über die Reform der Altersvorsorge 2020;4;Fakultatives Referendum;170991;78406;571;1074;76761;30761;46000;45.9;40.1
